title,link
"Electric Vehicle Population Data

    ",https://catalog.data.gov/dataset/electric-vehicle-population-data
"Inventory of Owned and Leased Properties (IOLP)

    ",https://catalog.data.gov/dataset/inventory-of-owned-and-leased-properties-iolp
"Crime Data from 2020 to Present

    ",https://catalog.data.gov/dataset/crime-data-from-2020-to-present
"National Death Index

    ",https://catalog.data.gov/dataset/national-death-index
"Air Quality

    ",https://catalog.data.gov/dataset/air-quality
"Fruit and Vegetable Prices

    ",https://catalog.data.gov/dataset/fruit-and-vegetable-prices
"Supply Chain Greenhouse Gas Emission Factors v1.3 by NAICS-6

    ",https://catalog.data.gov/dataset/supply-chain-greenhouse-gas-emission-factors-v1-3-by-naics-6
"National Obesity By State

    ",https://catalog.data.gov/dataset/national-obesity-by-state-d765a
"Motor Vehicle Collisions - Crashes

    ",https://catalog.data.gov/dataset/motor-vehicle-collisions-crashes
"Dynamic Small Business Search (DSBS)

    ",https://catalog.data.gov/dataset/dynamic-small-business-search-dsbs-4f0da
"Border Crossing Entry Data

    ",https://catalog.data.gov/dataset/border-crossing-entry-data-683ae
"Collection
            
Civil Rights Data Collection (CRDC) for the 2017-18 school year

    ",https://catalog.data.gov/dataset/civil-rights-data-collection-crdc-for-the-2017-18-school-year
"Death rates for suicide, by sex, race, Hispanic origin, and age: United States

    ",https://catalog.data.gov/dataset/death-rates-for-suicide-by-sex-race-hispanic-origin-and-age-united-states-020c1
"Warehouse and Retail Sales

    ",https://catalog.data.gov/dataset/warehouse-and-retail-sales
"FDIC Failed Bank List

    ",https://catalog.data.gov/dataset/fdic-failed-bank-list
"Nutrition, Physical Activity, and Obesity - Behavioral Risk Factor Surveillance System

    ",https://catalog.data.gov/dataset/nutrition-physical-activity-and-obesity-behavioral-risk-factor-surveillance-system
"MTA Metro-North On-Time Performance: Beginning 2020

    ",https://catalog.data.gov/dataset/mta-metro-north-on-time-performance-beginning-2020
"National Student Loan Data System

    ",https://catalog.data.gov/dataset/national-student-loan-data-system-722b0
"MTA Bridges & Tunnels Safety Indicators: Beginning 2018

    ",https://catalog.data.gov/dataset/mta-bridges-tunnels-safety-indicators-beginning-2018
"Lottery Powerball Winning Numbers: Beginning 2010

    ",https://catalog.data.gov/dataset/lottery-powerball-winning-numbers-beginning-2010
"Work Opportunity Tax Credit (WOTC) certification data

    ",https://catalog.data.gov/dataset/wotc-certifications-data
"Real Estate Sales 2001-2022 GL

    ",https://catalog.data.gov/dataset/real-estate-sales-2001-2018
"U.S. Chronic Disease Indicators

    ",https://catalog.data.gov/dataset/u-s-chronic-disease-indicators
"U.S. Hourly Precipitation Data

    ",https://catalog.data.gov/dataset/u-s-hourly-precipitation-data2
"MTA NYCT Safety Data: Beginning 2019

    ",https://catalog.data.gov/dataset/mta-nyct-safety-data-beginning-2019
"Supply Chain Greenhouse Gas Emission Factors v1.2 by NAICS-6

    ",https://catalog.data.gov/dataset/supply-chain-greenhouse-gas-emission-factors-v1-2-by-naics-6
"Mental Health Care in the Last 4 Weeks

    ",https://catalog.data.gov/dataset/mental-health-care-in-the-last-4-weeks
"Food Price Outlook

    ",https://catalog.data.gov/dataset/food-price-outlook
"Drug overdose death rates, by drug type, sex, age, race, and Hispanic origin: United States

    ",https://catalog.data.gov/dataset/drug-overdose-death-rates-by-drug-type-sex-age-race-and-hispanic-origin-united-states-3f72f
"Crime Incidents in 2024

    ",https://catalog.data.gov/dataset/crime-incidents-in-2024
"Collection
            
Expenditure and Employment Data for the Criminal Justice System Series

    ",https://catalog.data.gov/dataset/expenditure-and-employment-data-for-the-criminal-justice-system-series-6d69c
"MTA Monthly Ridership / Traffic Data: Beginning January 2008

    ",https://catalog.data.gov/dataset/mta-monthly-ridership-traffic-data-beginning-january-2008
"2017-18 Harassment or Bullying Civil Rights Data Collection

    ",https://catalog.data.gov/dataset/2017-18-harassment-or-bullying-civil-rights-data-collection
"Harmonized Tariff Schedule of the United States (2025)

    ",https://catalog.data.gov/dataset/harmonized-tariff-schedule-of-the-united-states-2024
"Consumer Complaint Database

    ",https://catalog.data.gov/dataset/consumer-complaint-database
"Meteorite Landings

    ",https://catalog.data.gov/dataset/meteorite-landings
"FY23 Federal Real Property Profile (FRPP) Public Dataset

    ",https://catalog.data.gov/dataset/fy23-federal-real-property-profile-frpp-public-dataset
"Alzheimer's Disease and Healthy Aging Data

    ",https://catalog.data.gov/dataset/alzheimers-disease-and-healthy-aging-data
"Collection
            
Civil Rights Data Collection (CRDC) for the 2015-16  school year

    ",https://catalog.data.gov/dataset/civil-rights-data-collection-crdc-for-the-2015-16-school-year
"U.S. Food Imports

    ",https://catalog.data.gov/dataset/u-s-food-imports
"Quick Stats Agricultural Database API

    ",https://catalog.data.gov/dataset/quick-stats-agricultural-database-api
"Adult Depression (LGHC Indicator)

    ",https://catalog.data.gov/dataset/adult-depression-lghc-indicator-627e3
"Lottery Mega Millions Winning Numbers: Beginning 2002

    ",https://catalog.data.gov/dataset/lottery-mega-millions-winning-numbers-beginning-2002
"Water Quality Data

    ",https://catalog.data.gov/dataset/water-quality-data-41c5e
"Diabetes

    ",https://catalog.data.gov/dataset/diabetes
"COVID-19 Outcomes by Vaccination Status - Historical

    ",https://catalog.data.gov/dataset/covid-19-outcomes-by-vaccination-status
"Crash Reporting - Drivers Data

    ",https://catalog.data.gov/dataset/crash-reporting-drivers-data
"Provisional COVID-19 Deaths by Sex and Age

    ",https://catalog.data.gov/dataset/provisional-covid-19-death-counts-by-sex-age-and-state
